asset_id,type,tool,prompt_summary,iterations,manual_edit_minutes,main_problems,godot_import_notes,final_path
player_sheet,sprite_sheet,"OpenCode GPT-5.4 + Pillow","Teal reef hatchling hero with idle, run, blow, recoil, and fall frames",4,35,"Pose consistency, muzzle flare size, tiny feet at 64 px","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/player/player_sheet.png"
enemy_sheet,sprite_sheet,"OpenCode GPT-5.4 + Pillow","Coral walker enemy with visor and 4-frame walk cycles",3,18,"Leg readability, shell contrast, small-scale motion drift","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/enemy/enemy_sheet.png"
bubble_orb_sheet,sprite_sheet,"OpenCode GPT-5.4 + Pillow","Aqua glass projectile bubble with sparkle animation",2,10,"Glow blur, rim readability, over-bright highlights","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/bubble/orb_sheet.png"
bubble_trap_sheet,sprite_sheet,"OpenCode GPT-5.4 + Pillow","Warm trapped bubble with coral star core and shimmer",3,12,"Free/trapped state too similar, halo too soft","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/bubble/trap_sheet.png"
background_sheet,bg,"OpenCode GPT-5.4 + Pillow","Four reef-cavern backdrop variants with layered coral silhouettes",3,24,"Visual clutter behind platforms, style drift between variants","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/environment/background_sheet.png"
block_tiles,tileset,"OpenCode GPT-5.4 + Pillow","Sea-glass block atlas with coral trim for TileMap use",2,14,"Tile readability, atlas collision setup, seam prevention","Lossless PNG, 32x32 atlas regions, TileSet collisions rebuilt in code","res://assets_ai/processed/visual/environment/block_tiles.png"
title_screen,ui_icon,"OpenCode GPT-5.4 + Pillow","Original reef arcade title art with slanted headline",4,20,"Text overflow, headline width, clutter around supporting copy","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/ui/title_screen.png"
prompt_sheet,ui_icon,"OpenCode GPT-5.4 + Pillow","Animated press-start badge with moving reef bubble",2,12,"Text readability under overlay, panel pacing","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/ui/prompt_sheet.png"
game_over_screen,ui_icon,"OpenCode GPT-5.4 + Pillow","Pink dusk retry screen with large slanted headline",3,14,"Copy overflow, headline balance, panel contrast","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/ui/game_over_screen.png"
hud_panel,ui_icon,"OpenCode GPT-5.4 + Pillow","Compact HUD panel with warm accent bar and stripe motif",2,9,"Too much internal detail under labels, contrast tuning","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/ui/hud_panel.png"
life_icon,ui_icon,"OpenCode GPT-5.4 + Pillow","Small life icon based on the new hero in a bubble",2,7,"Readability below 32 px, face simplification","Lossless PNG, nearest filter set in code, mipmaps off","res://assets_ai/processed/visual/ui/life_icon.png"
project_icon,ui_icon,"OpenCode GPT-5.4 + Pillow","Launcher icon using the reef hatchling face over a dark badge",2,8,"Face silhouette too dark in first pass","Lossless PNG, default import, used as config icon","res://assets_ai/processed/visual/ui/project_icon.png"
jump_sfx,sfx,"OpenCode GPT-5.4 + Python wave","Rising arcade jump chirp",2,6,"Head click, envelope too sharp","WAV import, default sample settings, routed to SFX bus","res://assets_ai/processed/audio/sfx/jump.wav"
fire_sfx,sfx,"OpenCode GPT-5.4 + Python wave","Short glassy bubble-fire puff",2,7,"Too laser-like, square-wave harshness","WAV import, default sample settings, routed to SFX bus","res://assets_ai/processed/audio/sfx/fire.wav"
trap_sfx,sfx,"OpenCode GPT-5.4 + Python wave","Warm crystalline capture shimmer",2,8,"Tail too long, masked gameplay cues","WAV import, default sample settings, routed to SFX bus","res://assets_ai/processed/audio/sfx/trap.wav"
pop_sfx,sfx,"OpenCode GPT-5.4 + Python wave","Tiny bubble-pop burst",2,5,"Scratchy raw noise burst, too much tail","WAV import, default sample settings, routed to SFX bus","res://assets_ai/processed/audio/sfx/pop.wav"
hurt_sfx,sfx,"OpenCode GPT-5.4 + Python wave","Descending buzzy damage cue",2,7,"Abrasive square-wave bite, rough decay","WAV import, default sample settings, routed to SFX bus","res://assets_ai/processed/audio/sfx/hurt.wav"
clear_sfx,sfx,"OpenCode GPT-5.4 + Python wave","Short round-clear arpeggio",3,9,"Loudness balance, too-jingly first pass","WAV import, default sample settings, routed to SFX bus","res://assets_ai/processed/audio/sfx/clear.wav"
game_over_sfx,sfx,"OpenCode GPT-5.4 + Python wave","Descending failure sting",3,10,"Too long, too heavy in first pass","WAV import, default sample settings, routed to SFX bus","res://assets_ai/processed/audio/sfx/game_over.wav"
start_sfx,sfx,"OpenCode GPT-5.4 + Python wave","Short confirm/start chirp",2,5,"Too close to jump cue, tail cleanup","WAV import, default sample settings, routed to SFX bus","res://assets_ai/processed/audio/sfx/start.wav"
reef_loop_music,music,"OpenCode GPT-5.4 + Python wave","12-second reef arcade loop with bass, arp, and melody",4,22,"Loop polish, melody balance, arp brightness","WAV import, loop enabled in code, routed to Music bus","res://assets_ai/processed/audio/music/reef_loop.wav"
